TRAVEL_ID,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,SLEEP,ACTIVITY,RESULT_MVMN,Cluster
e_e002784,20,0,나홀로 여행,1,체험 활동 / 입장 및 관람,기차,8
e_e011413,30,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e007192,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,0
e_e003019,30,0,나홀로 여행,0,쇼핑 / 구매,자가용,0
e_e002248,30,0,나홀로 여행,1,휴식,자가용,0
e_e008354,30,0,나홀로 여행,0,체험 활동 / 입장 및 관람,버스,0
e_e007552,40,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e002260,20,0,나홀로 여행,1,단순 구경 / 산책 / 걷기,지하철,8
e_e002506,30,1,2인 가족 여행,1,단순 구경 / 산책 / 걷기,자가용,0
e_e009055,20,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,5
e_e000994,20,2,부모 동반 여행,1,체험 활동 / 입장 및 관람,자가용,1
e_e002437,30,3,자녀 동반 여행,1,단순 구경 / 산책 / 걷기,자가용,1
e_e000959,40,3,자녀 동반 여행,2,단순 구경 / 산책 / 걷기,자가용,3
e_e003753,30,2,부모 동반 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e000752,40,0,나홀로 여행,2,휴식,항공기,9
e_e011100,50,6,3인 이상 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,2
e_e001987,20,4,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,1
e_e011538,20,1,2인 여행(가족 외),0,없음,지하철,5
e_e010700,20,1,2인 가족 여행,0,쇼핑 / 구매,지하철,5
e_e004575,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,지하철,5
e_e005127,20,0,나홀로 여행,2,단순 구경 / 산책 / 걷기,지하철,9
e_e001013,40,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,자가용,0
