TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
f016482,26,여,20,6,1.0,1,1,3,,4,,2,1,27,27290,48,48840,46,46130,2,2,2,2,2,4,5,6,부산광역시,경남,2인 여행(가족 외),2023-09-16~2023-09-16,1,3.0,7.0,1
f000614,45,남,20,6,1.0,1,1,3,,4,,2,1,50,50110,45,45110,26,26260,6,2,5,4,5,3,5,5,전라북도,강원,나홀로 여행,2023-05-27~2023-05-29,1,7.0,2.0,0
f012381,27,여,20,5,1.0,1,2,13,,3,3.0,3,6,26,26500,47,47130,27,27110,4,1,1,5,1,1,1,7,대구광역시,부산,2인 여행(가족 외),2023-09-03~2023-09-03,3,1.0,2.0,1
f015605,11,남,40,4,1.0,2,3,5,,4,9.0,3,3,42,42830,26,26350,41,41170,3,2,2,3,2,4,5,2,서울특별시,강원,2인 여행(가족 외),2023-09-09~2023-09-09,2,3.0,1.0,1
f002507,31,여,20,6,1.0,1,4,2,,4,11.0,2,4,26,26350,26,26710,31,31200,4,2,2,1,2,4,2,6,울산광역시,부산,나홀로 여행,2023-06-06~2023-06-07,2,5.0,8.0,0
f004628,47,여,60,6,1.0,3,1,3,,3,,2,1,26,26230,48,48220,45,45110,2,7,2,2,2,3,5,6,경상북도,경북,나홀로 여행,2023-07-22~2023-07-22,1,2.0,4.0,0
f002614,26,여,20,6,1.0,1,1,3,,3,,3,5,50,50110,11,11680,27,27290,2,2,2,5,1,4,2,6,부산광역시,대구,나홀로 여행,2023-06-09~2023-06-10,1,2.0,5.0,0
f015687,26,남,30,5,1.0,1,1,4,,4,,2,1,50,50110,11,11680,42,42150,4,3,2,4,4,2,2,3,부산광역시,울산,2인 여행(가족 외),2023-09-08~2023-09-08,3,1.0,7.0,1
f006083,41,남,20,6,1.0,1,2,2,,6,6.0,2,2,42,42820,45,45190,28,28185,1,1,3,2,6,2,6,6,서울특별시,강원,3인 이상 여행(가족 외),2023-08-18~2023-08-19,2,1.0,3.0,2
f005248,11,남,20,6,1.0,1,1,2,,5,,3,3,42,42150,41,41170,50,50130,4,3,3,2,1,5,4,5,서울특별시,강원,2인 여행(가족 외),2023-08-05~2023-08-06,1,2.0,3.0,1
f016376,27,남,40,6,4.0,2,4,3,,6,8.0,2,2,27,27260,47,47290,47,47230,1,1,1,1,1,7,7,1,대구광역시,경북,자녀 동반 여행,2023-09-16~2023-09-16,3,8.0,1.0,3
f007437,11,남,20,6,1.0,1,4,4,,4,7.0,2,1,41,41480,42,42150,50,50110,1,1,1,1,1,1,3,4,서울특별시,강원,부모 동반 여행,2023-08-29~2023-08-30,3,7.0,1.0,3
f005320,11,여,40,5,1.0,4,3,3,,4,4.0,3,2,50,50130,42,42210,26,26710,1,3,1,3,3,4,3,6,서울특별시,강원,자녀 동반 여행,2023-08-01~2023-08-02,2,3.0,7.0,1
f001574,41,남,40,6,1.0,2,3,3,,5,9.0,2,1,50,50110,42,42210,26,26350,1,1,1,1,6,1,6,7,경기도,경북,자녀 동반 여행,2023-05-25~2023-05-27,3,1.0,7.0,2
f003719,11,여,60,6,1.0,2,3,2,,5,5.0,3,8,42,42210,43,43150,26,26260,2,2,5,2,1,6,2,4,서울특별시,강원,2인 가족 여행,2023-07-08~2023-07-08,3,7.0,6.0,1
f002123,47,남,30,7,1.0,2,3,3,,3,8.0,2,3,27,27110,26,26350,50,50110,2,2,5,2,1,2,2,6,경상북도,부산,자녀 동반 여행,2023-05-28~2023-05-29,10,,,3
f001832,41,여,40,6,1.0,2,4,13,,3,6.0,2,1,42,42210,41,41360,11,11110,4,2,1,3,4,4,4,5,경기도,경북,자녀 동반 여행,2023-05-27~2023-05-28,8,3.0,1.0,3
f000616,26,여,20,5,5.0,1,3,13,,1,2.0,3,1,26,26500,27,27110,46,46150,3,4,5,6,5,4,5,2,부산광역시,경남,나홀로 여행,2023-05-27~2023-05-28,8,2.0,7.0,0
f012298,47,여,30,6,1.0,1,3,2,,5,7.0,2,2,27,27110,26,26350,50,50110,2,4,2,4,6,2,7,7,경상북도,대구,나홀로 여행,2023-08-25~2023-08-25,1,7.0,2.0,0
f009102,26,여,30,6,1.0,1,1,3,,5,,2,1,47,47130,42,42210,42,42830,6,4,3,2,6,2,1,4,부산광역시,경남,나홀로 여행,2023-08-26~2023-08-26,6,7.0,1.0,0
f001445,11,여,40,6,1.0,2,1,3,,10,,3,3,42,42150,42,42170,50,50110,1,1,4,3,2,5,3,3,서울특별시,강원,2인 가족 여행,2023-06-04~2023-06-06,2,1.0,3.0,1
f001512,27,남,50,4,1.0,2,4,2,,4,5.0,3,6,50,50130,45,45800,47,47110,2,3,2,4,4,2,3,4,대구광역시,경북,2인 가족 여행,2023-05-28~2023-05-29,3,6.0,8.0,1
f003735,26,여,30,4,1.0,1,3,12,,2,6.0,2,1,11,11200,26,26500,50,50110,4,5,2,3,6,5,2,5,부산광역시,울산,3인 이상 여행(가족 외),2023-06-29~2023-06-29,3,7.0,1.0,2
f002102,41,여,30,8,2.0,1,1,12,,4,,3,5,50,50130,26,26170,42,42830,2,1,2,6,6,6,2,7,경기도,부산,2인 여행(가족 외),2023-06-03~2023-06-04,1,,,1
f000654,11,여,50,6,1.0,2,3,13,,8,11.0,3,5,42,42210,42,42830,26,26350,4,4,4,2,3,6,3,5,서울특별시,경북,자녀 동반 여행,2023-06-03~2023-06-05,7,8.0,3.0,2
f001461,11,남,30,6,1.0,2,4,2,,5,8.0,2,3,41,41610,30,30230,27,27200,6,6,2,5,3,6,3,4,서울특별시,강원,자녀 동반 여행,2023-06-04~2023-06-05,4,3.0,8.0,3
f001840,41,여,50,6,1.0,2,4,3,,3,6.0,2,1,42,42210,41,41670,41,41500,1,2,2,4,3,1,1,6,경기도,강원,3대 동반 여행(친척 포함),2023-06-05~2023-06-06,9,3.0,2.0,8
