TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
f_f005459,H02,f005459,10;23,2023-08-04,2023-08-06,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",10;23,23;10;4
f_f005570,H02,f005570,1;10;22;5;8,2023-08-05,2023-08-07,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;10;22;5;8,5;22;24
f_f005588,F01,f005588,1;22;4;7;9,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;22;4;7;9,22;9;26
f_f005704,F01,f005704,21;22;23;26;4,2023-08-26,2023-08-28,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",21;22;23;26;4,23;22;21
f_f005711,H02,f005711,1;22;3,2023-08-11,2023-08-13,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;3,22;1;3
f_f005838,F01,f005838,1;10;22;5,2023-08-26,2023-08-28,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;10;22;5,5;22;1
f_f006251,H02,f006251,23;24;26;3,2023-08-10,2023-08-12,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",23;24;26;3,3;24;26
f_f006516,F01,f006516,2;22;23;24;6,2023-08-17,2023-08-19,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22;23;24;6,24;6;2
f_f006915,F01,f006915,5;22;23;10;2,2023-08-26,2023-08-28,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",5;22;23;10;2,5;22;2
f_f007121,F04,f007121,12;21;22;4;6,2023-08-14,2023-08-16,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",12;21;22;4;6,26;22;1
f_f007314,H02,f007314,22;23;4,2023-08-13,2023-08-15,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",22;23;4,23;22;4
f_f007857,F01,f007857,24;22,2023-08-18,2023-08-20,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",24;22,24;21;4
f_f008742,H02,f008742,1;22;24;26;4,2023-08-20,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;24;26;4,5;22;26
f_f010568,H02,f010568,21,2023-09-12,2023-09-13,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21,21;27;4
g_g000193,H02,g000193,13;2;22;23;6,2023-05-25,2023-05-27,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",13;2;22;23;6,1;2;22
g_g000219,H02,g000219,22;11,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",22;11,11;22;3
g_g000257,H02,g000257,1;11;2;3;4,2023-06-04,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",1;11;2;3;4,2;3;4
g_g000343,H02,g000343,2;3;4;6,2023-05-27,2023-05-29,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",2;3;4;6,3;6;13
g_g000857,H02,g000857,4;6;22;26,2023-06-04,2023-06-05,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",4;6;22;26,22;4;7
g_g000904,H02,g000904,2;5;6;1;28;27;21,2023-06-09,2023-06-11,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",2;5;6;1;28;27;21,2;6;5
g_g000953,H02,g000953,10;2;21;22;4,2023-05-29,2023-06-01,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",10;2;21;22;4,10;21;23
g_g001137,H02,g001137,24;26;27;4,2023-05-26,2023-05-28,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",24;26;27;4,24;26;22
g_g001182,H02,g001182,21;27;5,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",21;27;5,3;27;11
g_g001376,H02,g001376,2;22;23;24;26,2023-06-05,2023-06-07,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22;23;24;26,2;22;23
g_g001904,H02,g001904,1;22;26,2023-06-05,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",1;22;26,1;2;26
g_g001956,H02,g001956,21;12;4;9;22;24;3;27,2023-06-17,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",21;12;4;9;22;24;3;27,9;21;6
g_g001969,H02,g001969,1;2;22;24;5,2023-06-11,2023-06-13,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;2;22;24;5,1;22;24
g_g001988,H02,g001988,22;24,2023-06-16,2023-06-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24,11;24;22
g_g002069,H02,g002069,4;6;22,2023-06-21,2023-06-23,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",4;6;22,3;6;22
